Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",376,001,"Beatus vir *","Beatus vir *","Comm. unius Doctoris",MI,Tc,,g01285,*,,
"P-BRs Ms. 034",376,002,"Veritas mea *","Veritas mea *","Comm. unius Doctoris",MI,Of,,g01278,*,,
"P-BRs Ms. 034",376,003,"Domine quinque talenta *","Domine quinque talenta *","Comm. unius Doctoris",MI,Cm,,g00012,*,,
"P-BRs Ms. 034",376,004,"Os justi meditabitur sapientiam et lingua","Os justi meditabitur sapientiam et lingua ejus loquetur judicium lex dei ejus in corde ipsius","Comm. unius Confessoris non Pontificis",MI,In,,g01349,6,,
"P-BRs Ms. 034",376,005,"Noli aemulari in malignantibus neque zelaveris","Noli aemulari in malignantibus neque zelaveris facientes iniquitatem","Comm. unius Confessoris non Pontificis",MI,InV,,g01349a,6,,
"P-BRs Ms. 034",376,006,"Justus ut palma *","Justus ut palma *","Comm. unius Confessoris non Pontificis",MI,Gr,,g01350,*,,
"P-BRs Ms. 034",376,007,"Alleluia Justum deduxit dominus per vias","Alleluia Justum deduxit dominus per vias rectas et ostendit illi gloriam suam","Comm. unius Confessoris non Pontificis",MI,Al,,g02226,2,,
"P-BRs Ms. 034",377,001,"Beatus vir *","Beatus vir *","Comm. unius Confessoris non Pontificis",MI,Tc,,g01285,*,,
"P-BRs Ms. 034",377,002,"Desiderium *","Desiderium *","Comm. unius Confessoris non Pontificis",MI,Of,,g01363,*,,
"P-BRs Ms. 034",377,003,"Justus dominus et justitias dilexit aequitatem","Justus dominus et justitias dilexit aequitatem vidit vultus ejus","Comm. unius Confessoris non Pontificis",MI,Cm,,g00739,5,,
"P-BRs Ms. 034",377,004,"Justus ut palma florebit sicut cedrus","Justus ut palma florebit sicut cedrus Libani multiplicabitur plantatus in domo domini in atriis domus dei nostri",,MI,In,,g01355,1,,
"P-BRs Ms. 034",377,005,"Bonum est confiteri domino et psallere","Bonum est confiteri domino et psallere nomini tuo altissime",,MI,InV,,g00239b,1,,
"P-BRs Ms. 034",377,006,"Os justi meditabitur sapientiam et lingua","Os justi meditabitur sapientiam et lingua ejus loquetur judicium",,MI,Gr,,g01343,1,,
"P-BRs Ms. 034",378,001,"Lex dei ejus in corde ipsius","Lex dei ejus in corde ipsius et non supplantabuntur gressus ejus",,MI,GrV,,g01343a,1,,
"P-BRs Ms. 034",378,002,"Beatus vir *","Beatus vir *",,MI,Tc,,g01285,*,,
"P-BRs Ms. 034",378,003,Desiderium*,Desiderium*,,MI,Of,,g01363,*,,
"P-BRs Ms. 034",378,004,"Beatus servus *","Beatus servus *",,MI,Cm,,g01354,*,,
"P-BRs Ms. 034",378,005,"Sacerdotes tui *","Sacerdotes tui *","Comm. plurimorum Confessorum Pontificum",MI,In,,g01338,*,,
"P-BRs Ms. 034",378,006,"Sacerdotes ejus induant salutari et sancti","Sacerdotes ejus induant salutari et sancti ejus exsultatione exsultabunt","Comm. plurimorum Confessorum Pontificum",MI,Gr,,g01339,1,,
"P-BRs Ms. 034",378,007,"Alleluia Justus ut palma florebit et","Alleluia Justus ut palma florebit et sicut cedrus multiplicabitur","Comm. unius Confessoris Abbatis",MI,Al,,g01362,1,,
"P-BRs Ms. 034",379,001,"Illic producam cornu David paravi lucernam","Illic producam cornu David paravi lucernam Christo meo","Comm. plurimorum Confessorum Pontificum",MI,GrV,,g01339a,1,,
"P-BRs Ms. 034",379,002,"Alleluia Sancti tui *","Alleluia Sancti tui *","Comm. plurimorum Confessorum Pontificum",MI,Al,,g00041,*,,
"P-BRs Ms. 034",379,003,"Beatus vir *","Beatus vir *","Comm. plurimorum Confessorum Pontificum",MI,Tc,,g01285,*,,
"P-BRs Ms. 034",379,004,"Exsultabunt *","Exsultabunt *","Comm. plurimorum Confessorum Pontificum",MI,Of,,g01323,*,,
"P-BRs Ms. 034",379,005,"Amen dico vobis *","Amen dico vobis *","Comm. plurimorum Confessorum Pontificum",MI,Cm,,g01358,*,,
"P-BRs Ms. 034",379,006,"Loquebar de testimoniis tuis in conspectu","Loquebar de testimoniis tuis in conspectu regum et non confundebar et meditabar in mandatis tuis quae dilexi nimis","Comm. unius Virginis Martyris",MI,In,,g00363,5,,
"P-BRs Ms. 034",379,007,"Beati immaculati in via qui ambulant","Beati immaculati in via qui ambulant in lege domini","Comm. unius Virginis Martyris",MI,InV,,g00363a,5,,
"P-BRs Ms. 034",380,001,"Specie tua et pulchritudine tua intende","Specie tua et pulchritudine tua intende prospere procede et regna","Comm. unius Virginis Martyris",MI,Gr,,g01381,5,,
"P-BRs Ms. 034",380,002,"Propter veritatem et mansuetudinem et justitiam","Propter veritatem et mansuetudinem et justitiam et deducet te mirabiliter dextera tua","Comm. unius Virginis Martyris",MI,GrV,,g01397a,5,,
"P-BRs Ms. 034",380,003,"Alleluia Veni electa mea ponam te","Alleluia Veni electa mea ponam te in thronum meum quia cuncupivit rex speciem tuam","Comm. unius Virginis Martyris",MI,Al,,g02265,1,,
"P-BRs Ms. 034",381,001,"Qui seminant*","Qui seminant*","Comm. unius Virginis Martyris",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",381,002,"Filiae regum *","Filiae regum *","Comm. unius Virginis Martyris",MI,Of,,g01388,*,,
"P-BRs Ms. 034",381,003,"Simile est regnum caelorum homini negotiatori","Simile est regnum caelorum homini negotiatori quaerenti bonas margaritas inventa una pretiosa margarita dedit omnia sua et comparavit eam","Comm. unius Virginis Martyris",MI,Cm,,g01393,8,,
"P-BRs Ms. 034",381,004,"Vultum tuum *","Vultum tuum *","Comm. unius Virginis Martyris",MI,In,,g01390,*,,
"P-BRs Ms. 034",381,005,"Diffusa est gratia in labiis tuis","Diffusa est gratia in labiis tuis propterea benedixit te deus in aeternum","Comm. unius Virginis Martyris",MI,Gr,,g01397,5,,
"P-BRs Ms. 034",382,001,"Propter veritatem et mansuetudinem et justitiam","Propter veritatem et mansuetudinem et justitiam et deducet te mirabiliter dextera tua","Comm. unius Virginis Martyris",MI,GrV,,g01397a,5,,
